Date,Open,High,Low,Close,Adj Close,Volume
2007-01-19,12.898605,13.080742,12.772765,13.080742,8.258518,5672216
2007-01-22,13.080742,13.246321,12.842308,13.047626,8.237604,7450219
2007-01-23,13.060873,13.097300,12.873768,12.997953,8.206247,10321355
2007-01-24,13.105579,13.145318,12.923442,13.145318,8.299292,10901139
2007-01-26,12.988018,13.224796,12.931721,13.196647,8.331693,14445066
2007-01-29,13.228107,13.228107,12.868801,12.890326,8.138304,7511821
2007-01-30,12.923442,12.989674,12.766142,12.978083,8.193706,9381623
2007-01-31,12.840652,13.098956,12.800913,12.997953,8.206247,8065031
2007-02-01,13.113858,13.196647,12.913507,12.997953,8.206247,6630067
2007-02-02,12.948279,13.138695,12.948279,13.113858,8.279427,12508831
2007-02-05,13.080742,13.216517,13.039347,13.120481,8.283605,5913792
2007-02-06,13.122137,13.160220,13.006231,13.039347,8.232381,7221929
2007-02-07,13.079086,13.163532,12.948279,13.032724,8.228207,9454096
2007-02-08,12.997953,13.122137,12.787667,13.122137,8.284656,9405781
2007-02-09,13.128760,13.143662,12.733026,12.807537,8.086030,8906925
2007-02-12,12.819127,12.915163,12.620432,12.666794,7.997172,11114934
2007-02-13,12.746272,12.815816,12.504527,12.650237,7.986722,16591474
2007-02-14,12.668450,12.997953,12.668450,12.940000,8.169660,22559621
2007-02-15,12.940000,13.027757,12.766142,12.848931,8.112160,10294782
2007-02-16,12.848931,12.868801,12.666794,12.716468,8.028534,6336551
2007-02-21,12.718124,12.718124,12.453198,12.549233,7.922951,8998724
2007-02-22,12.584005,12.733026,12.557512,12.733026,8.038988,14946338
2007-02-23,12.686664,12.741305,12.418426,12.468100,7.871719,9408196
2007-02-26,12.550889,12.598907,12.434984,12.550889,7.923995,10160707
2007-02-27,12.241256,12.241256,11.681599,11.880294,7.500614,30622237
2007-02-28,11.913410,12.052496,11.756110,12.052496,7.609335,27504692
2007-03-01,11.598810,11.991232,11.259373,11.888573,7.505842,13308449
2007-03-02,11.838899,11.838899,11.459723,11.466347,7.239269,21592107
2007-03-05,11.292489,11.590531,11.176583,11.259373,7.108597,12676726
2007-03-06,11.573973,11.916722,11.549136,11.905131,7.516297,16795606
2007-03-07,11.938247,11.938247,11.701469,11.739552,7.411759,10926505
2007-03-08,11.921689,12.019381,11.838899,11.920033,7.525703,7522692
2007-03-09,11.973018,12.087268,11.792537,12.037594,7.599927,9171451
2007-03-12,12.035938,12.171713,11.954805,12.087268,7.631290,7732863
2007-03-13,11.888573,11.934935,11.607089,11.607089,7.328129,15131144
2007-03-14,11.507741,11.739552,11.330572,11.673320,7.369939,12005144
2007-03-15,11.623647,11.837244,11.559071,11.689878,7.380395,10270624
2007-03-16,11.722994,11.820686,11.433231,11.466347,7.239269,7304065
2007-03-19,11.590531,12.037594,11.590531,11.905131,7.516297,10268209
2007-03-20,11.921689,12.103826,11.888573,12.004478,7.579014,7551681
2007-03-21,12.045873,12.544266,11.996199,12.459821,7.866500,15500756
2007-03-22,12.497904,12.579038,12.395245,12.426705,7.845592,10466301
2007-03-23,12.408491,12.549233,12.231322,12.367096,7.807960,11082321
2007-03-26,12.418426,12.418426,12.219731,12.401868,7.829912,5808706
2007-03-27,12.377031,12.385310,12.228010,12.228010,7.720148,9460135
2007-03-28,12.219731,12.219731,11.782603,11.805784,7.453576,12255175
